,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
2137,Brentwood Health Center,1251 Saratoga Ave NE # B,Washington,DC,20018-1025,202-469-4699,www.unityhealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-76.98935495,38.92168766
2138,Jewish Renaissance Foundation Community Health Center,1931 Oak Tree Rd,Edison,NJ,08820-2072,732-482-9600,,All Other Clinic Types,Permanent,Service Delivery Site,-74.36359872,40.57362851
2139,GOSHEN MEDICAL CENTER - ROCKINGHAM,125 Biltmore Dr STE 1,Rockingham,NC,28379-5017,910-719-3666,,All Other Clinic Types,Permanent,Service Delivery Site,-79.75016677,34.9183905
2140,Zapata,210 Rathmell St,Zapata,TX,78076,956-765-4367,www.gatewaychc.com,All Other Clinic Types,Permanent,Service Delivery Site,-99.26887537,26.90138916
2141,CHRISTIAN COMMUNITY HEALTH CENTER,9718 S Halsted St,Chicago,IL,60628-1007,773-233-4100,www.cchc-online.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.6432164,41.71688394
2142,Mulberry Family Clinic,421 N Main St,Mulberry,AR,72947,479-997-1484,www.rvpcs.org,All Other Clinic Types,Permanent,Service Delivery Site,-94.05198479,35.49923744
2143,Terry Reilly Latah Clinic,848 S La Cassia Dr,Boise,ID,83705-2253,208-344-3512,www.trhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.22822398,43.595933
2145,HealthNet Speedway Health &amp; Dental Center,6020 Crawfordsville Rd,Indianapolis,IN,46224-3710,317-957-2070,https://www.indyhealthnet.org/locations/speedway-health--dental-center,All Other Clinic Types,Permanent,Service Delivery Site,-86.26640775,39.79976758
2147,ANESIA KUDRIN MEMORIAL CLINIC,113 MAIN STREET,Akutan,AK,99553-0113,907-698-2208,www.eatribes.org,All Other Clinic Types,Permanent,Service Delivery Site,-165.76506278,54.1369084
2149,Obion County Medical Clinic,321 W Harper St,Troy,TN,38260-5653,731-536-0371 x73125,www.clchc.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.16665795,36.33860061
2153,Venice Family Clinic Annenberg Access Center - The People's Concern,503 Olympic Blvd,Santa Monica,CA,90401-3311,310-392-8636,,All Other Clinic Types,Permanent,Service Delivery Site,-118.48946211,34.01327727
2154,Joslyn Smile Center,816 Joslyn Ave,Pontiac,MI,48340-2919,248-724-7600,www.honorcommunityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.28007697,42.66031617
2155,CareConnect Convenient Care,277 Perry Pkwy STE C,Perry,GA,31069-8428,478-988-6087,https://www.ccthealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.70567563,32.47517757
2157,Latah Community Health,803 S Main St STE 120,Moscow,ID,83843-2695,208-848-8300,https://chas.org/,All Other Clinic Types,Permanent,Service Delivery Site,-117.00140744,46.72778699
2158,HSH Health Center & Dental Clinic,755 Worthington Street,Springfield,MA,01105-1140,413-337-9100,,All Other Clinic Types,Permanent,Service Delivery Site,-72.58489156,42.10991247
2160,TFHC Silver Blossoms,2727 W Dr Martin Luther King Jr Blvd STE 100,Tampa,FL,33607-6353,813-866-0930,,All Other Clinic Types,Permanent,Service Delivery Site,-82.48757758,27.98134739
2162,WellSpace Health - J Street Community Health Center,1820 J St,Sacramento,CA,95811-3010,916-313-8400,,All Other Clinic Types,Permanent,Service Delivery Site,-121.48166058,38.57687611
2163,BURLINGTON CITY HEALTH CENTER,651 High St,Burlington,NJ,08016-2737,609-386-0775 x7115,www.sjfmc.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.85478286,40.07035415
2164,Jonesville Family Health Center,276 Fieldstone Dr,Jonesville,VA,24263-1215,276-546-5310,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-83.11279136,36.72193198
2165,CommWell Health of Newton Grove/Spivey&#39;s Corner - Behavioral Health,1508 Maple Grove Church Rd STE B,Dunn,NC,28334-7688,877-835-5255,www.commwellhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-78.45200126,35.24058885
2167,SEATTLE INDIAN HEALTH BOARD,611 12th Ave S,Seattle,WA,98144-2007,206-324-9360,www.sihb.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.31725636,47.59711813
2168,Women and Children's Health Pavilion,1125 Atlantic Ave,Atlantic City,NJ,08401-4806,609-572-0000,www.sjfmc.org,All Other Clinic Types,Permanent,Service Delivery Site,-74.42523664,39.36335281
2169,Blue Ridge Health - Rainbow Pediatrics,110 Chadwick Square Ct STE C,Hendersonville,NC,28739-3238,828-698-8135,,All Other Clinic Types,Permanent,Service Delivery Site,-82.4568279,35.3025809
2177,Victory Outreach,1641 W Central Ave,Lompoc,CA,93436-2723,805-737-9968,,All Other Clinic Types,Permanent,Service Delivery Site,-120.4779182,34.66106222
2180,Palm Center Adult Support Services,240 E 1st Ave STE 124,Hialeah,FL,33010-4972,786-441-5353,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.27942067,25.82406327
2182,Callen-Lorde at SAGE Center Brooklyn,271 Myrtle Ave RM 2,Brooklyn,NY,11201-3281,212-271-7206,,All Other Clinic Types,Permanent,Service Delivery Site,-73.97800103,40.69349056
2183,"PryMed Medical Care, Inc.",13 Carr 149,Ciales,PR,00638,787-871-0601,,All Other Clinic Types,Permanent,Service Delivery Site,-66.46857661,18.33855666
2185,SICHC Bedford,629 Lincoln Ave,Bedford,IN,47421-2142,812-675-4470,,All Other Clinic Types,Permanent,Service Delivery Site,-86.4899925,38.87226302
2188,SJNHC - Women's Health Center,363 S Main St,Orange,CA,92868-3833,714-441-8006,www.stjudenhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.8672753,33.78278759
2190,North Country Family Health Center - Lowville,7785 N State St,Lowville,NY,13367-1229,315-376-4500,www.NoCoFamilyHealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-75.49824883,43.7959434
2193,"Family Health Care Clinic, Inc. --Tylertown",113 Enochs St,Tylertown,MS,39667-2711,601-876-3858,,All Other Clinic Types,Permanent,Service Delivery Site,-90.14267282,31.11363601
2198,Monticello Medical Pharmacy,1 S Creek Dr,Monticello,KY,42633-9465,606-348-3365,,All Other Clinic Types,Permanent,Service Delivery Site,-84.87265709,36.81867046
2199,FRANKLIN MEDICAL MALL,1303 Dr Martin L King Jr Ave,Mobile,AL,36603-5341,251-432-4117,www.franklinprimary.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-88.06574596,30.699404
2205,New River Health - Sophia,302 W Main St,Sophia,WV,25921,304-683-4304,https://www.newriverhealthwv.com/,All Other Clinic Types,Permanent,Service Delivery Site,-81.25306406,37.70749523
2206,Cheyenne Health and Wellness  Center 1C,2508 E Fox Farm Rd # 1C,Cheyenne,WY,82007-2559,307-635-3618,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-104.76920102,41.11663234
2207,FAMILY HEALTH CENTER-MARSHFIELD DENTAL CENTER,1307 N Saint Joseph Ave,Marshfield,WI,54449-1340,715-221-5600,,All Other Clinic Types,Permanent,Service Delivery Site,-90.1799398,44.68088747
2208,AMG2 Park Rd,10508 Park Rd STE 130,Charlotte,NC,28210-8526,704-208-4134,amitymed.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.87081298,35.093855
2209,ACCESS Brandon Family Health Center,2822 E 83rd St,Chicago,IL,60617-2105,773-721-7600,,All Other Clinic Types,Permanent,Service Delivery Site,-87.55544464,41.74465307
2210,SJCH 50th Street Dental Clinic at Boys &amp; Girls Club,1000 W 50th St,Los Angeles,CA,90037-2924,323-541-1411,,All Other Clinic Types,Permanent,Service Delivery Site,-118.29154989,33.99697899
2211,The Bridge,1818 Corsicana St,Dallas,TX,75201-6102,214-670-1145,http://www.parklandhospital.com/phhs/homeless-outreach.aspx,All Other Clinic Types,Permanent,Service Delivery Site,-96.79160288,32.77625714
2212,WHEELING HEALTH RIGHT CENTER,61 29th St,Wheeling,WV,26003-4161,304-233-9323,,All Other Clinic Types,Permanent,Service Delivery Site,-80.72331981,40.05154009
2213,OHI - Freehold,20 Jackson St,Freehold,NJ,07728-2476,732-363-6655,,All Other Clinic Types,Permanent,Service Delivery Site,-74.26959543,40.25934926
2214,CHAFEE HEALTH CENTER,1 Warren Way,Providence,RI,02905-5000,401-444-0530 x3368,www.providencechc.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.40236503,41.80294588
2215,Community Health Center of Southeast Kansas/Coffeyville,801 W 8th St,Coffeyville,KS,67337-4109,620-251-7500,,All Other Clinic Types,Permanent,Service Delivery Site,-95.62754001,37.03614246
2217,AtlantiCare Health Services-FQHC Substance Use Disorder Clinic,1401 Atlantic Ave STE 2300,Atlantic City,NJ,08401-7026,609-572-6055,,All Other Clinic Types,Permanent,Service Delivery Site,-74.42868957,39.36193388
2219,KOHOU CLINIC,904 Kohou St,Honolulu,HI,96817-4420,808-791-6370,www.kphc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-157.87047918,21.32422912
2220,Ouzinkie Health Clinic,3rd St & C St,Ouzinkie,AK,99644,907-680-2265,www.kodiakhealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-152.50532002,57.92219
2225,Canyon Country Health Center,27225 Camp Plenty Rd STE 2,Canyon Country,CA,91351-2654,661-424-1220,www.sdfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.47591203,34.41648725
2226,SIHF Healthcare - Mattoon,911 Remington Rd Ste B,Mattoon,IL,61938-4210,217-234-3091,,All Other Clinic Types,Permanent,Service Delivery Site,-88.36425998,39.48188998
2227,FAMILY HEALTH SERVICES - URGENT CARE TWIN FALLS,260 3rd Ave N,Twin Falls,ID,83301-6130,208-650-7855,,All Other Clinic Types,Permanent,Service Delivery Site,-114.47044215,42.5588555
2229,Chase Avenue Family Health Center,1111 W Chase Ave,El Cajon,CA,92020-5710,619-515-2499,www.fhcsd.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.9764608,32.78160735
2230,CompleteCare Smile Center,105 Manheim Ave STE 11,Bridgeton,NJ,08302-2139,856-451-4700 x2350,www.completecarenj.org,All Other Clinic Types,Permanent,Service Delivery Site,-75.2186634,39.43534812
2235,Missouri Highlands Health Care - Annapolis,202 N Allen St,Annapolis,MO,63620-8778,573-598-4213,www.mohigh.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.69782751,37.36073501
2236,PINES Caribou Health Center,74 Access Hwy,Caribou,ME,04736,207-498-2356,www.pineshealthservices.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-67.99241345,46.87359736
2237,NORFIELD MEDICAL CENTER,7061 Norway Rd,Neeses,SC,29107-9021,803-263-4086,www.myfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.18657872,33.4739572
2240,RAHC Kendal Drive,170A Kendal Dr,Lexington,VA,24450-1786,540-464-8700,,All Other Clinic Types,Permanent,Service Delivery Site,-79.46089013,37.78060404
2242,Bluegrass Community Health Center - Eagle Creek,131 N Eagle Creek Dr,Lexington,KY,40509-1806,859-263-2507,bchcky.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-84.44077501,37.99996736
2245,Brewton Family Dental Center,1115 Azalea Pl,Brewton,AL,36426-1318,251-867-8020,www.franklinprimary.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.07392945,31.12593894
2246,"Chiricahua Community Health Centers, Inc. Behavioral Health Center Suite A140","77 Calle Portal, #A140",Sierra Vista,AZ,85635-2988,520-364-1429,cchci.org,All Other Clinic Types,Permanent,Service Delivery Site,-110.2669442,31.55339316
2248,SJCH LEWIS FRAYSER CLINIC,5701 S Hoover St,Los Angeles,CA,90037-4045,323-541-1411,www.sjch.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.28712919,33.99029715
2249,Ezra Medical Center,1312 38th St,Brooklyn,NY,11218-3612,718-686-7600,www.ezramedical.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.98523207,40.64087908
2251,OHCC - 30789 Range Avenue,30789 N Range Ave,Denham Springs,LA,70726,225-655-6422,,All Other Clinic Types,Permanent,Service Delivery Site,-90.95629423,30.50617379
2252,Central Union Mission,65 Massachusetts Ave NW,Washington,DC,20001-1431,202-715-7900,www.unityhealthcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.01103147,38.8986987
2253,WADE FAMILY MEDICAL CENTER,7118 Main St,Wade,NC,28395-9749,910-483-6694 x7030,stedmanwadehealthservices.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-78.73046358,35.1595454
2254,"Central City Community Health Center, Inc. - Indio","81709 Doctor Carreon Blvd, Ste E1",Indio,CA,92201-5589,706-342-3336,www.centralcityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-116.24070689,33.70724925
2256,"Unicare Community Health Center, Inc.",437 N Euclid Ave,Ontario,CA,91762-3456,909-988-2555,www.unicarechc.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.65125379,34.06799353
2257,Onley Community Health Center,20306 Badger Ln,Onancock,VA,23417-1224,757-787-7374,www.esrh.org,All Other Clinic Types,Permanent,Service Delivery Site,-75.72609678,37.68911241
2258,CommUnityCare Rundberg,"825 E Rundberg Ln, Ste B1",Austin,TX,78753-4860,512-978-9044,http://www.communitycaretx.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.68660389,30.35736875
2259,Centerville Clinics - City Mission Site,84 W Wheeling St,Washington,PA,15301-6918,724-632-6801 x2258,,All Other Clinic Types,Permanent,Service Delivery Site,-80.24693552,40.16904012
2262,AxessPointe Community Health Center/Barberton,390 Robinson Ave STE E,Barberton,OH,44203-3659,330-564-2697,www.axesspointe.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.59171306,41.01038065
2265,Crescent Community Health Center,1690 Elm St STE 300,Dubuque,IA,52001-3679,563-690-2860,www.crescentchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.66482284,42.50938609
2266,Great Lakes Bay Health Centers Bayside,3884 Monitor Rd,Bay City,MI,48706-9298,989-671-2000,https://greatlakesbayhealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.94656048,43.62726543
2269,Pardee BlueMD 3334 Boylston Highway Suite 20,3334 Boylston Hwy STE 20,Mills River,NC,28759-4103,828-694-8150,,All Other Clinic Types,Permanent,Service Delivery Site,-82.57018316,35.39979312
2270,Physicians Care of Butler,315 E Pushmataha St,Butler,AL,36904-2533,205-278-4315,,All Other Clinic Types,Permanent,Service Delivery Site,-88.21828244,32.08988907
2271,"Winn Community Health Center, Inc.",431 W Lafayette St,Winnfield,LA,71483-3463,,www.winnchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-92.6427935,31.92490927
2272,Casa Maria Community Health Center,324 E 149th St,Bronx,NY,10451-5602,718-742-7711,www.acacianetwork.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.9206666,40.81676099
2273,MIRAMAR HEALTH CENTER,1608 Road 44,Pasco,WA,99301-2667,509-543-9280,www.yvfwc.com,All Other Clinic Types,Permanent,Service Delivery Site,-119.14875137,46.24276347
2275,South End Community Health Center,1601 Washington Street,Boston,MA,02118-1951,617-425-2000,,All Other Clinic Types,Permanent,Service Delivery Site,-71.07478458,42.33810349
2279,Howard Brown Health 63rd Street,641 W 63rd St,Chicago,IL,60621-2032,773-388-1600,,All Other Clinic Types,Permanent,Service Delivery Site,-87.64130147,41.77978652
2280,County of Monterey - Laurel Pediatric Clinic,1441 Constitution Blvd STE 101,Salinas,CA,93906-3196,831-755-4124,http://www.montereycountyclinicservices.org/,All Other Clinic Types,Permanent,Service Delivery Site,-121.63316197,36.69699
2281,Wellness Pointe - Longview Buliding 1,1107 E Marshall Ave,Longview,TX,75601-5602,903-758-2610,www.longviewwellness.org,All Other Clinic Types,Permanent,Service Delivery Site,-94.72458415,32.5039325
2282,Bobbie Sterne Health Center (formerly Elm Street),1525 Elm St,Cincinnati,OH,45202-6957,513-352-3092,,All Other Clinic Types,Permanent,Service Delivery Site,-84.51914614,39.1122473
2283,ACCESS Cabrini Family Health Center,3450 S Archer Ave,Chicago,IL,60608-6837,773-523-1000,www.accesscommunityhealth.net,All Other Clinic Types,Permanent,Service Delivery Site,-87.67643212,41.83117173
2284,"East Arkansas Family Health Center, Inc.",900 N 7th St,West Memphis,AR,72301,870-735-3842,eafhc.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-90.1759065,35.15485313
2285,Henderson Health Services (VUU),1500 N Lombardy St,Richmond,VA,23220-1711,804-780-0840,,All Other Clinic Types,Permanent,Service Delivery Site,-77.44990499,37.56088619
2287,United Health Centers Huron,13th St,Huron,CA,93234-6087,559-646-6618 x0010,www.unitedhealthcenters.org,All Other Clinic Types,Permanent,Service Delivery Site,-120.10085896,36.20838232
2288,Sun River Health Brentwood,1869 Brentwood Rd,Brentwood,NY,11717-4625,631-416-5480,,All Other Clinic Types,Permanent,Service Delivery Site,-73.24294145,40.7801988
2293,LONG VALLEY HEALTH CENTER,50 Branscomb Rd,Laytonville,CA,95454-9744,707-984-6131,www.longvalley.org,All Other Clinic Types,Permanent,Service Delivery Site,-123.48429976,39.68781842
2295,Florida Community Health Centers Inc.- Lincoln Park,3090 Avenue G,Fort Pierce,FL,34947,772-448-8496,www.fchcinc.org,All Other Clinic Types,Permanent,Service Delivery Site,-80.35613998,27.45624747
2301,CommuniCare at The MAC,5210 Thousand Oaks Dr STE 1203,San Antonio,TX,78233-6974,210-233-7000,www.communicaresa.org,All Other Clinic Types,Permanent,Service Delivery Site,-98.3947375,29.53677117
2305,San Ysidro Health CASA,3045 Beyer Blvd STE D-101,San Diego,CA,92154-3407,619-662-4100,,All Other Clinic Types,Permanent,Service Delivery Site,-117.06533915,32.57231923
2306,Dallas Deflection Center-Homeward Bound,5300 University Hills Blvd STE 400,Dallas,TX,75241-1219,214-590-0153,,All Other Clinic Types,Permanent,Service Delivery Site,-96.8056082,32.68107317
2307,Health Ministries Clinic-Halstead,126 Main St,Halstead,KS,67056-1708,316-835-3700,www.hmcks.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.50602744,38.00481734
2308,Neighborhood Healthcare ~ Ray M. Dickinson Wellness Center,425 N Date St,Escondido,CA,92025-3413,760-520-8300,www.nhcare.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.07170302,33.12928215
2309,LIME VILLIAGE CLINIC,#1 CLINIC ROAD GENERAL DELIVE.,Mc Grath,AK,99627,907-675-4556,WWW.YKHC.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-155.27764199,62.90772299
